article;Data Acquisition Method;Hardware Cost Category;Data Transfer Method;Assessment of Learning Outcomes Present;Technological Approach;Key Contribution
OHMLY: Development and Application of an Arduino-Based Educational Kit for Teaching Ohm's First Law in Youth and Adult Education;microcontroller;very low (can be reasonably acquired by a person);Onboard Storage;True;education learning-first;Development of an Arduino-based educational kit (OHMLY) integrated with block-based programming to enhance the understanding of Ohm's First Law among Youth and Adult Education (YAE) students.
Construction of an Educational Device for Real Time Data Acquisition Based on Arduino for a Calorimetric Study;microcontroller;very low (can be reasonably acquired by a person);Physical Computer Interface (USB Serial, etc);False;physics precision-first;Construction of a low-cost, Arduino-based device for real-time calorimetric data acquisition, achieving a 0.72% error rate in determining the mechanical equivalent of heat.
MICA: an innovative approach to remote data acquisition;microcontroller;very low (can be reasonably acquired by a person);Wireless;False;physics precision-first;Development of a modular, wireless 25 mm cube-based measurement and control system (MICA) with a custom low-latency protocol for educational laboratory environments.
Design of a Network Virtual Laboratory System for Digital Signal Processing Experiments;microcontroller;high (requires budget);Wireless;True;physics precision-first;Design and implementation of a LabVIEW-based network virtual laboratory for digital signal processing, enabling hardware resource sharing and remote distance education.
Error: get() returned more than one DataExtraction -- it returned 2!;;;;;;
Teaching Physical Sciences Using Arduino Physics Lab at the Universidad Del Cauca;microcontroller;mid (can be done with minimal institutional funding);Wireless;True;physics precision-first;Adaption of 5 self-guided university laboratory guides for mechanics, electromagnetism, and thermodynamics using a low-cost Arduino kit.
Integrating Microcontrollers and Data Analysis in Mechanics Education: A STEM Approach to Free Fall;microcontroller;very low (can be reasonably acquired by a person);Physical Computer Interface (USB Serial, etc);True;physics precision-first;Development of a modified PLX-DAQ Excel interface for two-way communication and real-time visualization of gravity acceleration.
Design of measurement and data acquisition laboratory for instrumentation engineering course;microcontroller;very low (can be reasonably acquired by a person);N/A, Other, Multiple or Unspecified;True;education learning-first;The design of an affordable, open-source pedagogical platform for meteorological and environmental data logging that replaces expensive proprietary DAQ systems in engineering education.
Error: get() returned more than one DataExtraction -- it returned 2!;;;;;;
3 Distributed Home Labs at the Time of the Covid;smartphone;very low (can be reasonably acquired by a person);Onboard Storage;True;education learning-first;
